date,open,high,low,close,volume
2017-12-29,85.65,85.97,84.83,84.83,878510.0
2018-01-02,84.89,86.454,84.5,86.11,1469581.0
2018-01-03,86.09,87.86,85.73,87.54,1531243.0
2018-01-04,87.94,89.42,87.94,88.91,1743411.0
2018-01-05,89.8,91.71,89.5175,91.57,2241445.0
2018-01-08,92.5,92.97,91.12,91.93,1764240.0
2018-01-09,92.29,93.69,92.23,92.75,2749377.0
2018-01-10,92.19,92.44,90.18,90.46,2269456.0
2018-01-11,90.56,92.27,90.14,92.06,2025055.0
2018-01-12,92.33,93.2931,92.06,92.91,1401566.0
2018-01-16,93.96,94.02,92.19,92.56,2327048.0
2018-01-17,92.38,94.18,91.93,93.56,2094302.0
2018-01-18,93.92,94.0,92.45,93.1,1416470.0
2018-01-19,93.47,94.04,92.74,93.52,2207305.0
2018-01-22,94.09,94.38,92.18,93.55,1640605.0
2018-01-23,93.23,93.55,92.32,92.83,1477041.0
2018-01-24,93.71,94.69,92.87,93.54,1934824.0
2018-01-25,94.0,94.34,92.07,92.49,1820814.0
2018-01-26,93.17,94.74,92.75,94.48,2628235.0
2018-01-29,95.23,95.47,94.16,94.89,3274055.0
2018-01-30,94.41,95.27,93.99,94.63,1480856.0
2018-01-31,95.26,95.97,94.14,94.88,3109771.0
2018-02-01,90.83,96.91,90.8,96.02,2751211.0
2018-02-02,95.8,95.985,94.11,94.21,2544804.0
2018-02-05,93.88,95.625,91.01,91.14,2628513.0
2018-02-06,89.81,93.39,88.91,92.6,3270998.0
2018-02-07,92.53,95.345,92.2395,93.69,1868173.0
2018-02-08,93.43,93.8,89.24,89.27,2703945.0
2018-02-09,90.3,90.69,86.18,88.56,3248213.0
2018-02-12,89.25,92.3,88.64,91.44,1969237.0
2018-02-13,90.76,91.99,90.28,90.77,1035843.0
2018-02-14,90.16,92.93,89.91,92.69,1674978.0
2018-02-15,93.52,93.65,91.64,93.33,1327807.0
2018-02-16,92.65,93.9,92.37,92.4,1137437.0
2018-02-20,91.74,93.4,91.74,92.34,1452532.0
2018-02-21,92.31,94.15,91.7601,92.55,1073780.0
2018-02-22,93.23,93.86,92.29,92.94,970059.0
2018-02-23,93.21,93.78,92.21,93.06,849734.0
2018-02-26,93.82,94.79,93.05,94.72,859295.0
2018-02-27,94.73,94.91,92.6,92.62,1021604.0
