date,open,high,low,close,volume
2017-11-30,101.9,103.17,101.83,102.01,2740722.0
2017-12-01,102.43,102.77,100.5,102.27,1666118.0
2017-12-04,102.64,103.26,101.2,101.27,1363827.0
2017-12-05,101.15,102.55,100.87100000000001,101.0,1012132.0
2017-12-06,100.93,101.96,100.41,101.01,919854.0
2017-12-07,101.1,101.5,100.83,100.92,1057768.0
2017-12-08,101.06,101.86,100.65,101.35,705739.0
2017-12-11,101.93,102.22,100.94,101.68,1008121.0
2017-12-12,101.68,101.83,100.86,101.65,784388.0
2017-12-13,101.83,103.28,101.3,102.22,1211197.0
2017-12-14,102.605,103.14,101.46,101.47,941647.0
2017-12-15,101.39,102.22,101.27,102.06,2334663.0
2017-12-18,102.77,103.1,101.76,102.48,1000150.0
2017-12-19,102.56,102.8587,101.11,101.26,1257915.0
2017-12-20,101.53,101.6,100.28,100.32,1468751.0
2017-12-21,100.22,100.795,99.88,100.14,1279939.0
2017-12-22,99.88,100.015,98.505,99.38,960488.0
2017-12-26,99.56,99.7299,98.3,98.35,716515.0
2017-12-27,98.29,99.35,98.01100000000001,98.54,1297653.0
2017-12-28,98.88,98.88,97.45,98.31,1244955.0
