date,open,high,low,close,volume
2017-09-29,39.08,39.47,38.98,39.47,3285596.0
2017-10-02,39.79,40.06,39.6,39.7,2110196.0
2017-10-03,39.81,40.155,39.7,40.06,1600207.0
2017-10-04,39.93,40.33,39.93,40.25,1584483.0
2017-10-05,40.34,40.44,40.16,40.39,1120274.0
2017-10-06,40.42,40.73,40.14,40.68,1738901.0
2017-10-09,40.68,41.08,40.68,41.01,1481045.0
2017-10-10,41.05,41.135,40.67,41.01,1657654.0
2017-10-11,41.14,41.47,41.06,41.39,2495113.0
2017-10-12,41.39,42.2,41.32,41.82,2275785.0
2017-10-13,42.0,42.19,41.89,42.0,2085111.0
2017-10-16,42.09,42.565,41.87,41.97,2513365.0
2017-10-17,42.0,42.0,41.64,41.81,1864791.0
2017-10-18,41.8,42.05,41.53,41.79,2769986.0
2017-10-19,41.66,41.87,41.32,41.81,1172089.0
2017-10-20,41.99,42.45,41.83,42.28,1761229.0
2017-10-23,42.47,42.56,42.09,42.15,1293534.0
2017-10-24,42.16,42.33,41.93,42.31,2184418.0
2017-10-25,42.23,42.42,41.85,42.22,2524087.0
2017-10-26,42.37,42.88,42.26,42.72,1839971.0
2017-10-27,41.85,43.23,41.35,43.08,2071534.0
2017-10-30,43.11,43.21,42.63,42.9,1311616.0
